comment_id,platform,song_version,source_id,source_url,publish_time,user_name,text_raw,text_clean,like_count,reply_count,stance,frame,emotion,event_stage,is_valid,crawl_time,keyword_hit
qq_62,qqmusic,张碧晨版,,,2026-05-20,浅淡,我靠你也看均昊,我靠你也看均昊,0,,unclear,unclear,unclear,cooldown,1,2026-05-29 17:59:37,
qq_63,qqmusic,张碧晨版,,,2026-05-20,浅淡,我靠 你也看盖哥,我靠 你也看盖哥,0,,unclear,unclear,unclear,cooldown,1,2026-05-29 17:59:37,
qq_64,qqmusic,张碧晨版,,,2026-05-20,🦥🦥🦥🦥🦥🦥🦥🦥🦥🦥🦥🦥🦥🦥🦥, | 对对对 男版翻唱9天后的张杜鹃版本👍,| 对对对 男版翻唱9天后的张杜鹃版本,2,,support_wang,unclear,unclear,cooldown,1,2026-05-29 17:59:37,杜鹃
qq_65,qqmusic,张碧晨版,,,2026-05-20,收敛.,对对对 男版翻唱9天后的张杜鹃版本👍,对对对 男版翻唱9天后的张杜鹃版本,2,,support_wang,unclear,unclear,cooldown,1,2026-05-29 17:59:37,杜鹃
qq_66,qqmusic,张碧晨版,,,2026-05-20,幻想,很正常,很正常,0,,unclear,unclear,unclear,cooldown,1,2026-05-29 17:59:37,
qq_67,qqmusic,张碧晨版,,,2026-05-20,幻想,很正常的事，没必要讲,很正常的事，没必要讲,3,,anti_fanwar,unclear,unclear,cooldown,1,2026-05-29 17:59:37,
qq_68,qqmusic,张碧晨版,,,2026-05-20,幻想,唯一首唱,唯一首唱,0,,unclear,unclear,unclear,cooldown,1,2026-05-29 17:59:37,
qq_69,qqmusic,张碧晨版,,,2026-05-19,收敛.,女版确实好听啊 好听就代表她做的那些ex事都是对的？ | 多唱了一年也没见收藏量涨多少啊？我泷哥这么占理，最直白的支持方式怎么没见多少人来支持？,女版确实好听啊 好听就代表她做的那些ex事都是对的？ | 多唱了一年也没见收藏量涨多少啊？我泷哥这么占理，最直白的支持方式怎么没见多少人来支持？,0,,unclear,unclear,supportive,cooldown,1,2026-05-29 17:59:37,
qq_70,qqmusic,张碧晨版,,,2026-05-19,收敛.,出事的时候男版半个月涨50w 张杜鹃好像半年才100w吧 | 多唱了一年也没见收藏量涨多少啊？我泷哥这么占理，最直白的支持方式怎么没见多少人来支持？,出事的时候男版半个月涨50w 张杜鹃好像半年才100w吧 | 多唱了一年也没见收藏量涨多少啊？我泷哥这么占理，最直白的支持方式怎么没见多少人来支持？,0,,support_wang,unclear,supportive,cooldown,1,2026-05-29 17:59:37,杜鹃
qq_71,qqmusic,张碧晨版,,,2026-05-19,收敛.,那我能不能也说韩红吊打十个赵丽颖呢🥹 | 该评论已经被删除,那我能不能也说韩红吊打十个赵丽颖呢 | 该评论已经被删除,0,,unclear,unclear,unclear,cooldown,1,2026-05-29 17:59:37,
qq_72,qqmusic,张碧晨版,,,2026-05-19,收敛.,怎么不敢回复了呀 韩红就一首百万收藏 所以张杜鹃咖位比韩红大 你说对不对呢 | 该评论已经被删除,怎么不敢回复了呀 韩红就一首百万收藏 所以张杜鹃咖位比韩红大 你说对不对呢 | 该评论已经被删除,0,,support_wang,unclear,unclear,cooldown,1,2026-05-29 17:59:37,杜鹃
qq_73,qqmusic,张碧晨版,,,2026-05-19,收敛.,张杜鹃没偷孩子呗 碧水深谭假的呗 | 还有，你说张碧晨的那些事情，证据呢，早澄清几百年前的事情了，还要拿到今天来讲，谁是杜鹃谁干的那些事情你是不知道吗？,张杜鹃没偷孩子呗 碧水深谭假的呗 | 还有，你说张碧晨的那些事情，证据呢，早澄清几百年前的事情了，还要拿到今天来讲，谁是杜鹃谁干的那些事情你是不知道吗？,0,,support_wang,unclear,unclear,cooldown,1,2026-05-29 17:59:37,杜鹃
qq_74,qqmusic,张碧晨版,,,2026-05-19,收敛.,喜欢张杜鹃也是没谁了 多学学人家的美德哈 响应国家号召 多生点孩子 | 隐私用户也是没谁了,喜欢张杜鹃也是没谁了 多学学人家的美德哈 响应国家号召 多生点孩子 | 隐私用户也是没谁了,0,,support_wang,unclear,unclear,cooldown,1,2026-05-29 17:59:37,杜鹃
qq_75,qqmusic,张碧晨版,,,2026-05-19,收敛.,哦哦 那wsl朋友不出来说话就是没朋友 张杜鹃朋友不出来说话就是怕被造💊 就这么双标呗 | 她要是出来说句话，你们不又要去造赵丽颖的谣言了，这些年你们造的谣言很少吗？,哦哦 那wsl朋友不出来说话就是没朋友 张杜鹃朋友不出来说话就是怕被造 就这么双标呗 | 她要是出来说句话，你们不又要去造赵丽颖的谣言了，这些年你们造的谣言很少吗？,0,,support_wang,unclear,unclear,cooldown,1,2026-05-29 17:59:37,杜鹃
